stock_status,cpu,screen_size,ram,graphic_ram,hdd,ssd
new,Celeron,15.6 inch,4 gb,unified,1 tb,
new,Core i7,15.6 inch,16 gb,8 gb,,512 gb
new,M1,13 inch,8 gb,unified,,256 gb
new,Core i5,15.6 inch,16 gb,4 gb,,512 gb
new,Core i3,15.6 inch,12 gb,unified,1 tb,256 gb
new,Core i5,15.6 inch,8 gb,4 gb,,512 gb
new,Core i5,15.6 inch,8 gb,4 gb,,512 gb
new,Core i5,15.6 inch,8 gb,4 gb,,512 gb
new,Core i5,15.6 inch,8 gb,2 gb,1 tb,
new,Celeron,15.6 inch,4 gb,unified,1 tb,128 gb
new,Core i5,12.4 inch,8 gb,unified,,256 gb
new,M2,14 inch,16 gb,unified,,512 gb
new,Core i7,15.6 inch,16 gb,4 gb,,512 gb
new,Core i5,15.6 inch,8 gb,2 gb,,512 gb
new,M2,13.6 inch,8 gb,unified,,256 gb
new,M2,13.3 inch,8 gb,unified,,256 gb
new,Core i7,15.6 inch,16 gb,6 gb,,1 tb
new,Core i7,16 inch,16 gb,8 gb,,512 gb
new,Core i5,15.6 inch,16 gb,4 gb,,512 gb
new,Core i7,15.6 inch,16 gb,6 gb,,1 tb
new,Core i5,15.6 inch,8 gb,2 gb,,512 gb
new,Celeron,15.6 inch,4 gb,unified,1 tb,
new,Core i5,15.6 inch,16 gb,4 gb,,512 gb
new,Core i7,15.6 inch,16 gb,4 gb,1 tb,256 gb
new,Core i7,16 inch,16 gb,4 gb,,512 gb
new,Core i3,15.6 inch,4 gb,unified,1 tb,
new,Ryzen 7,15.6 inch,16 gb,4 gb,,1 tb
new,Ryzen 7,15.6 inch,8 gb,2 gb,,256 gb
new,Ryzen 7,15.6 inch,16 gb,4 gb,,1 tb
new,M1,14 inch,16 gb,unified,,512 gb
new,M2,13.6 inch,8 gb,unified,,256 gb
new,Celeron,15.6 inch,4 gb,unified,1 tb,
new,Core i5,15.6 inch,12 gb,2 gb,1 tb,256 gb
