,cpu,screen_size,ram,graphic_ram,hdd,ssd,prices,is_unified,company
0,Celeron,15.6,4,0.0,1000,0,8300000,1,lenovo
1,Core i7,15.6,16,8.0,0,512,56599000,0,asus
2,M1,13.0,8,0.0,0,256,37000000,1,apple
3,Core i5,15.6,16,4.0,0,512,34469000,0,lenovo
4,Core i3,15.6,12,0.0,1000,256,15600000,1,lenovo
5,Core i5,15.6,8,4.0,0,512,32350000,0,asus
6,Core i5,15.6,8,4.0,0,512,29600000,0,hp
7,Core i5,15.6,8,4.0,0,512,36479000,0,asus
8,Core i5,15.6,8,2.0,1000,0,21600000,0,lenovo
9,Celeron,15.6,4,0.0,1000,128,9000000,1,lenovo
10,Core i5,12.4,8,0.0,0,256,14800000,1,microsoft
11,M2,14.0,16,0.0,0,512,96840000,1,apple
12,Core i7,15.6,16,4.0,0,512,40388820,0,lenovo
13,Core i5,15.6,8,2.0,0,512,24392000,0,asus
14,M2,13.6,8,0.0,0,256,56294000,1,apple
15,M2,13.3,8,0.0,0,256,59499000,1,apple
16,Core i7,15.6,16,6.0,0,1000,56920000,0,asus
17,Core i7,16.0,16,8.0,0,512,82299000,0,asus
18,Core i5,15.6,16,4.0,0,512,34400000,0,hp
19,Core i7,15.6,16,6.0,0,1000,57990000,0,lenovo
20,Core i5,15.6,8,2.0,0,512,22879000,0,lenovo
21,Celeron,15.6,4,0.0,1000,0,12500000,1,asus
22,Core i5,15.6,16,4.0,0,512,38000000,0,asus
23,Core i7,15.6,16,4.0,1000,256,29220000,0,lenovo
24,Core i7,16.0,16,4.0,0,512,44500000,0,hp
25,Core i3,15.6,4,0.0,1000,0,13834000,1,lenovo
26,Ryzen 7,15.6,16,4.0,0,1000,48700000,0,asus
27,Ryzen 7,15.6,8,2.0,0,256,30400000,0,asus
28,Ryzen 7,15.6,16,4.0,0,1000,48479000,0,asus
29,M1,14.0,16,0.0,0,512,87000000,1,apple
30,M2,13.6,8,0.0,0,256,56900000,1,apple
31,Celeron,15.6,4,0.0,1000,0,11000000,1,asus
32,Core i5,15.6,12,2.0,1000,256,23400000,0,lenovo
33,Core i7,15.6,16,4.0,0,1000,48970000,0,asus
34,M2,13.3,8,0.0,0,256,57299000,1,apple
35,Ryzen 7,15.6,16,4.0,0,512,43612300,0,asus
36,Core i5,15.6,16,4.0,0,1000,38799000,0,asus
37,Core i5,15.6,8,4.0,0,512,37200000,0,asus
38,M2,16.0,16,0.0,0,512,105110000,1,apple
39,Core i5,15.6,16,4.0,0,1000,34890000,0,hp
40,Core i7,16.1,16,6.0,0,512,37200000,0,hp
41,Core i5,15.6,8,2.0,0,512,20999000,0,asus
42,Core i9,16.0,16,8.0,0,1000,109540000,0,asus
43,Core i7,15.6,16,8.0,0,1000,100000,0,asus
44,Core i7,15.6,16,2.0,0,512,32400000,0,lenovo
45,Core i5,15.6,16,4.0,0,512,37399000,0,asus
46,Core i7,15.6,8,0.0,0,512,30150000,1,asus
47,Core i3,15.6,8,0.0,1000,256,14579000,1,lenovo
48,Core i7,15.6,16,4.0,0,512,37344000,0,acer
49,Ryzen 7,15.6,32,6.0,0,1000,61379000,0,asus
50,Celeron,15.6,4,0.0,1000,256,9450000,1,lenovo
51,Core i7,15.0,16,6.0,0,512,40500000,0,microsoft
52,Core i7,14.0,16,0.0,512,512,16500000,1,lenovo
53,M1,16.0,16,0.0,0,512,93598000,1,apple
54,Core i7,15.6,16,2.0,1000,1000,28088000,0,asus
55,Core i5,15.6,8,0.0,0,512,22999000,1,other
56,Core i5,15.6,16,4.0,0,512,33700000,0,asus
57,Core i7,15.6,16,8.0,0,1000,59479000,0,lenovo
58,Core i7,16.0,32,6.0,0,1000,69600000,0,lenovo
59,Core i3,14.0,4,0.0,1000,0,16849000,1,asus
60,Core i5,15.6,8,2.0,0,512,29496000,0,asus
61,M2,13.3,8,0.0,0,512,70495000,1,apple
62,Core i5,15.6,8,2.0,0,512,21979000,0,lenovo
63,Core i5,15.6,8,2.0,1000,256,21300000,0,acer
