,name2
0,LENOVO IDEAPAD 3 
1,ASUS TUF Dash F15 FX517ZR 
2,Macbook Air MGN63
3,Lenovo IdeaPad Gaming 3
4,Lenovo Ideapad 3 
5, Laptop Asus FX506LH 
6,HP Victus15
7, ASUS TUF Gaming FX506HC 
8,Lenovo ideapad 3
9,Lenovo IdeaPad 3 Laptop
10,Laptop Microsoft Surface Go
11,Apple Macbook Pro 2023 M2 pro-MPHE3LL
12, Lenovo IdeaPad Gaming 3 
13,Asus Laptop X515EP 
14,Apple MacBook Air 2022 Midnight MLY33 M2 8GB 256GB SSD 13.6 inch Laptop
15,"Apple MacBook Pro 2022 13.3"" MNEH3 M2 8GB 256GB SSD Laptop"
16,Laptop Asus TUF Gaming F15 FX507ZM
17,"ASUS ROG Strix G16 (2023),Intel Core i7-13650HX,16GB DDR5,512GB PCIe SSD, GeForce RTX 4060 8GB,16” 16:10 FHD 165Hz,Wi-Fi 6E, Windows 11, G614JV-AS73, Eclipse Gray"
18,Hp Victus 15
19,Laptop  Lenovo Legion 5  
20,Lenovo IdeaPad 5 
21,Asus X543MA
22,Asus TUF Gaming F15 FX506HE
23,Lenovo IdeaPad Gaming 3 I7 : 12700H - 16GB - 1TB+256GB SSD - 4GB RTX 3050TI
24,Laptop HP Victus 16
25, Lenovo Ideapad 3  
26,Asus  ROG STRIX G513IM
27,ASUS ZENBOOK FLIP15 Q508UG RYZEN7 5700U RAM8GB 256GBSSD MX450
28,Asus ROG STRIX G513RC
29, Apple  MacBook  Pro 14 (2021) MKGP3
30,Laptop  Macbook Air MLY13
31,ASUS  VivoBook  Max  X543MA  Z
32,Lenovo IdeaPad 3
33,ASUS    TUF  GAMING  FX507ZC 
34,"Apple MacBook Pro 2022 13.3"" MNEP3 M2 8GB 256GB SSD Laptop"
35,TUF Gaming A15 FA507RE Ryzen 7 6800H 16GB 512GB SSD 4GB RTX 3050TI Full HD Laptop
36,Laptop ASUS FX506HC
37,VivoBook K6500ZH Core i5 12500H 8GB 512GB SSD 4GB GTX1650 FHD Laptop
38,MacBook Pro MNW83 2023 - M2 Pro - 16GB - 512GB - 16 inch Laptop
39,HP Victus15 
40,Laptop HP Victus 16
41,VivoBook R565EP  Laptop
42,
43,ASUS TUF Dash F15 FX517ZR
44,  Lenovo IdeaPad 5
45,Asus TUF Gaming F15 FX506HC
46,Asus VivoBook 15 R1502ZA-BQ708 - i7 - 8GB - 512GB - Iris - 15.6 inch FHD Laptop
47,Lenovo  Ideapad 3 
48,Acer AN515 Laptop
49,Laptop Asus G513RM
50,Lenovo  IdeaPad  3  QE 
51,Microsoft Surface Book 2 | 15 inch | Core i7 | 16GB | 512GB | 6GB
52,Lenovo ThinkPad X1 Carbon
53,Apple MacBook Pro 16‑inch MK183 M1 Pro 16GB 512GB SSD Laptop
54,ASUS VivoBook R565JP   
55,لپ تاپ هوآوی MateBook B3-520 i5
56,Laptop Asus  FX506LH
57,Lenovo Legion 5
58,Lenovo  Legion 5 Pro
59,ASUS  VivoBook R465FA 
60,ASUS  VivoBook  K513EQ 
61,"Apple MacBook Pro 2022 13.3"" MNEJ3 M2 8GB 512GB SSD Laptop"
62,LENOVO IdeaPad 3
63,Acer Aspire 3 A315
64,
65,E510MA N4020 4GB 512GB SSD Intel HD Laptop
66,TUF F15 FX516PM
67,Lenovo ideapad 3
68,MSI Katana 15 B12VGK i7-12650H 16 GB DDR5 1TB SSD 8GB RTX 4070 s 15.6inch FHD
69,Lenovo Legion 5 Pro-GA Core i7 12700H/1TB SSD/32GB/RTX3070 8GB 16 Inch Laptop
70,Lenovo ThinkBook 15 FX
71,VivoBook T3300KA LQ029W 
72,MacBook Air-MLXW3 M2 2022 LLA
73,
74,لپ تاپ ایسوس FX517 ZR
75,Laptop ASUS FX507ZR
76,
77,Laptop Surface Book 3 13 inch
78,Laptop Microsoft Surface Go
79, Pavilion x360 Convertible 14t DY000 - AN
80,ASUS TUF GAMING FX507ZC
81,Laptop Lenovo IdeaPad 3
82,Asus VivoBook Pro M6500QH Ryzen 5 5600H 8GB 512GB SSD 4GB GTX 1650 FHD Laptop
83,MacBook Air MGND3
