,prices
0,8300000
1,56599000
2,37000000
3,34469000
4,15600000
5,32350000
6,29600000
7,36479000
8,21600000
9,9000000
10,14800000
11,96840000
12,40388820
13,24392000
14,56294000
15,59499000
16,56920000
17,82299000
18,34400000
19,57990000
20,22879000
21,12500000
22,38000000
23,29220000
24,44500000
25,13834000
26,48700000
27,30400000
28,48479000
29,87000000
30,56900000
31,11000000
32,23400000
33,48970000
34,57299000
35,43612300
36,38799000
37,37200000
38,105110000
39,34890000
40,37200000
41,20999000
42,109540000
43,100000
44,32400000
45,37399000
46,30150000
47,14579000
48,37344000
49,61379000
50,9450000
51,40500000
52,16500000
53,93598000
54,28088000
55,22999000
56,33700000
57,59479000
58,69600000
59,16849000
60,29496000
61,70495000
62,21979000
63,21300000
64,18900000
65,12049000
66,51299000
67,24150000
68,78499000
69,71950000
70,16593000
71,20689000
72,55290000
73,42700000
74,63000000
75,60480000
76,54890000
77,31500000
78,17400000
79,24200000
80,46800000
81,22000000
82,32290000
83,42999000
84,41100000
85,16379000
86,100000000
87,94999000
88,9899000
89,19500000
90,58950000
91,26200000
92,14800000
93,18000000
94,100000
95,29700000
96,46200000
97,25988820
98,24900000
99,28100000
100,34500000
101,33299000
102,43499000
103,47890000
104,28600000
105,58120000
106,43598000
107,56000000
108,33892000
109,13979000
110,51555000
111,59900000
112,123499000
113,51489000
114,69800000
115,56200000
116,39599000
117,37069000
118,16300000
119,78000000
120,11950000
121,16879000
122,32400000
123,20900000
124,53979000
125,0
126,69590000
127,58599000
128,45699900
129,9830000
130,55300000
131,15100000
132,37198000
133,18900000
134,73100000
135,115699000
136,30799000
137,25290000
138,30200000
139,27900000
140,42900000
141,27054000
142,19700000
143,25900000
144,51640000
145,69000000
146,17980000
147,39479000
148,275000000
149,223000000
150,19670000
151,100000
152,84000000
153,57879000
154,26797000
155,65400000
156,46900000
157,31000000
158,18900000
159,49700000
160,22300000
161,46512300
162,38200000
163,56250000
164,111000000
165,10512300
166,40180000
167,17980000
168,48970000
169,83479000
170,51890000
171,80000000
172,56200000
173,65333000
174,44990000
175,27289000
176,23000000
177,20000000
178,20600000
179,51300000
180,13850000
181,49800000
182,825800000
183,14188820
184,22500000
185,4990000
186,31500000
187,36150000
188,64100000
189,44960000
190,17300000
191,36490000
192,17900000
193,17889000
194,136195000
195,40479000
196,344979000
197,14479000
198,45633000
199,40956000
200,34500000
201,32800000
202,100000
203,40770000
204,41889000
205,67800000
206,23400000
207,22500000
208,32500000
209,46990000
210,40900000
211,66950000
212,94000000
213,2890000
214,62500000
215,25609752
216,32000000
217,36867000
218,10700000
219,40155000
220,69899000
221,16990000
222,46490000
223,10600000
224,171499000
225,47890000
226,21800000
227,14500000
228,34700000
229,31200000
230,28864000
231,75891000
232,38891000
233,25500000
234,53390000
235,70499000
236,41890000
237,28700000
238,43690000
239,26979000
240,29900000
241,21898000
242,62688820
243,66500000
244,46200000
245,34300000
246,46350000
247,8700000
248,25643000
249,27400000
250,26500000
251,18800000
252,75600000
253,48889000
254,17950000
255,27700000
256,53000000
257,14890000
258,32200000
259,76489000
260,42469000
261,36990000
262,52500000
263,15000000
264,47790000
265,65400000
266,74779000
267,14850000
268,56470000
269,69400000
270,65090000
271,47779000
272,96700000
273,15300000
274,30966000
275,94998000
276,14979000
277,59200000
278,33469000
279,87690000
280,25870000
281,50600000
